time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.3651860149e-08,2.89907183536e-07,10.0035664301,6.28267956002,6.28312292744,0.0,4.63425567321e-06,-5.38144846383e-06,0.11887526783,-0.0362184371655,-0.00320475037645,0.0,443.41411115397534,443.1508322561611,443.90199768836294,440.92045133964723
0.12000000000000001,2.04093013018e-06,-2.29157833929e-05,10.0197970289,6.28128967509,0.000298253630243,0.0,4.49091748061e-05,-0.000992789108929,0.422081789023,-0.00511956845426,0.0199674235093,0.0,496.2166589729712,497.91444927505677,496.29757721953735,498.57439774788344
0.18,-7.86834273549e-06,-0.000126532158112,10.0502289776,6.28131272654,0.00204721188156,0.0,-0.000545794151429,-0.00247489103398,0.592243076863,0.0095894568978,0.043064932299,0.0,458.64293731085223,460.47367395062713,457.52408573170953,458.69350099863004
0.23999999999999996,-0.000101482174279,-0.000317033751235,10.0922300993,6.28232219911,0.00430091426781,0.0,-0.00286629004715,-0.00377707265168,0.807666076475,0.0283585117416,0.0233042244531,0.0,472.383865887534,470.8583781217214,472.65208839420956,474.09609493585816
0.3,-0.000377332750524,-0.000556244867317,10.1458324749,0.000558529297622,0.00554305850128,0.0,-0.00647738783923,-0.00401834275537,0.978947855394,0.0121866152923,0.0149124003653,0.0,460.26542170950773,459.60084877980876,459.99792467211745,458.71571581905613
0.36000000000000004,-0.000887165342543,-0.000782656843982,10.2081564061,0.001212393974,0.00623543520645,0.0,-0.010600739328,-0.00345602434124,1.09840844695,0.00818668734321,0.00375707910238,0.0,445.4572672146618,444.5441140691209,443.18866393636665,442.8596951437598
0.4200000000000001,-0.00164441223861,-0.000963329093586,10.2756961849,0.00278112519091,0.00657191163847,0.0,-0.0146674808088,-0.00245543648532,1.15286353842,0.0485103894426,0.00907420675302,0.0,423.82735850247104,424.28396217487233,421.07789254671013,424.5516876787504
0.48000000000000015,-0.0027146885586,-0.00101608603883,10.3557352232,0.0054991304079,0.00695235730763,0.0,-0.0210717049402,0.00109292154848,1.5146957196,0.0379527073458,0.000220323908817,0.0,514.3991783593758,513.7717858416999,515.5225738382642,514.776987131973
0.5400000000000001,-0.00412876033798,-0.000823474825428,10.4504313332,0.0075336492256,0.00732775108365,0.0,-0.0260856719326,0.00555656622751,1.64166581429,0.0242599718321,0.0162012544138,0.0,447.6079039372195,448.906375709827,447.56812653190923,446.45285565272036
0.6000000000000002,-0.00587478009376,-0.000301132014298,10.5553661602,0.00961386375782,0.00827826643945,0.0,-0.0322268758694,0.0120690430833,1.85583647097,0.0499763331351,0.0151134298131,0.0,474.40052049098875,474.3168793208057,473.28851145270494,475.2638828874787
