episode,rewards_total
345,-212.899925173
346,-212.846824593
347,-212.800839467
348,-212.920543054
349,-212.815693412
350,-212.79118452
351,-212.841232801
352,-212.837495339
353,-212.870158719
354,-212.935027703
355,-185.859666832
356,-212.881529665
357,-212.824075116
358,-212.872940807
359,-212.865421252
360,-212.91272877
361,-212.85241706
362,-212.857076868
363,-212.828652842
364,-212.87589036
365,-212.860555393
366,-212.863688906
367,-212.795122195
368,-212.858191336
369,-212.793294816
370,-212.911241822
371,-212.849653566
372,-212.846454656
373,-212.881983
374,-212.857620369
375,-212.83027824
376,-212.83112988
377,-212.896405139
378,-212.918229395
379,-212.852933787
380,-212.840622657
381,-212.827719418
382,-212.879779431
383,-212.855755008
384,-212.85990167
385,-212.835617929
386,-212.841284275
387,-212.876228787
388,-212.873362192
389,-212.810911519
390,-212.803832133
391,-212.863065132
392,-212.847481655
393,-212.915771542
394,-212.790571986
395,-212.855173259
396,-188.878262562
397,-212.816080351
398,-212.829200382
399,-212.81384214
400,-212.813030584
401,-212.801487909
402,-212.785144755
403,-212.809625378
404,-212.806100455
405,-212.784936007
406,-212.878561674
407,-212.947736199
408,-212.780014715
409,-212.790538773
410,-212.862195853
411,-212.821278432
412,-212.8884081
413,-212.846766879
414,-212.824038139
415,-212.927163975
416,-212.872332473
417,-212.933454704
418,-212.827854157
419,-212.788436701
420,-212.85375199
421,-212.876637617
422,-212.857053773
423,-212.858038476
424,-212.832050809
425,-212.883768721
426,-212.842040223
427,-212.802031647
428,-212.808435386
429,-212.793289588
430,-185.823136665
431,-212.865946469
432,-212.828279408
433,-212.860005112
434,-212.86417986
435,-212.779802654
436,-212.845078429
437,-212.822098841
438,-212.844026465
439,-212.846047878
440,-212.889638726
441,-212.8067412
442,-212.900944335
443,-212.780064018
444,-212.883129289
445,-212.844806801
446,-212.814288059
447,-212.836209485
448,-212.898591689
449,-212.845334617
450,-212.822018923
451,-212.895387137
452,-212.894340642
453,-212.919794503
454,-212.834188257
455,-212.838216749
456,-179.809727151
457,-212.803640725
458,-212.800815767
459,-212.802473454
460,-212.845955932
461,-212.824175573
462,-212.829484355
463,-212.863994223
464,-212.776249173
465,-212.842361229
466,-212.840265519
467,-212.77930271
468,-212.828711589
469,-203.841547111
470,-212.824161357
471,-212.826460778
472,-212.884093903
473,-212.838507438
474,-212.842777473
475,-212.800072831
476,-212.839204628
477,-212.833227058
478,-212.900281817
479,-206.807661933
480,-212.84537667
481,-212.815228917
482,-212.823556643
483,-212.827568369
484,-212.887720649
485,-212.834212893
486,-212.827970844
487,-212.856027136
488,-212.810185414
489,-212.860339894
490,-212.810939648
491,-212.870691493
492,-212.844026817
493,-212.852934037
494,-212.777258872
495,-212.844163304
496,-212.870332711
497,-212.859536677
498,-212.854032382
499,-212.845648128
500,-212.814024896
501,-203.850025596
502,-212.819126432
503,-212.820898791
504,-212.82763667
505,-212.8572021
506,-212.780035192
507,-212.878132461
508,-212.835536272
509,-212.831855882
510,-212.838764438
511,-212.89281142
512,-212.82033262
513,-212.844179171
514,-212.802289512
515,-212.779655853
516,-212.834606167
517,-212.843039311
518,-212.851204677
519,-212.892556523
520,-212.819634302
521,-212.856111479
522,-212.799924784
523,-194.881203434
524,-212.802407707
525,-212.816719224
526,-212.934530245
527,-212.847030218
528,-212.860721956
529,-212.836296608
530,-212.823487917
531,-212.799015089
532,-212.87107608
533,-212.838139721
534,-212.799840623
535,-212.787888362
536,-197.838450487
537,-212.938470837
538,-212.860607394
539,-212.814110477
540,-212.787471448
541,-212.771829263
542,-212.850268879
543,-212.840253662
544,-212.837683788
545,-212.860323854
546,-212.833164744
547,-212.852710972
548,-212.804477271
549,-212.802411261
550,-212.880756646
551,-212.803495878
552,-212.851374764
553,-212.800016637
554,-212.833194363
555,-212.802547679
556,-212.831960857
557,-212.776215507
558,-212.845168309
559,-212.89252053
560,-200.823850614
561,-212.819096017
562,-212.83757697
563,-212.809335166
564,-212.852402168
565,-212.818131993
566,-212.829683007
567,-200.794733214
568,-212.791530433
569,-212.816518211
570,-212.888286301
571,-212.922055557
572,-212.957085883
573,-212.852571269
574,-212.870330869
575,-212.861112238
576,-212.874203711
577,-212.860619856
578,-212.845925661
579,-212.827047968
580,-212.840136016
581,-212.869752214
582,-212.792964485
583,-212.975109147
584,-212.85223203
585,-212.85919912
586,-212.907400809
587,-212.824237853
588,-212.806447757
589,-212.869600522
590,-212.850600854
591,-212.815755145
592,-212.883463401
593,-212.791067465
594,-212.817452231
595,-212.821730266
596,-212.827581941
597,-212.827007911
598,-212.829837765
599,-212.867561555
600,-212.82887005
601,-212.861240202
602,-212.832942353
603,-212.848327267
604,-212.848971665
605,-212.786959085
606,-212.838493196
607,-212.892317743
608,-212.821744638
609,-212.855953164
610,-212.84368068
611,-212.846028559
612,-212.89926692
613,-194.821163855
614,-212.805917538
615,-212.827521495
616,-212.886255513
617,-212.78480481
618,-212.812105764
619,-212.843977112
620,-212.851329922
621,-212.850980162
622,-212.92967338
623,-212.828409033
624,-212.855979972
625,-212.81584209
626,-212.773117761
627,-212.90283001
628,-212.924296705
629,-212.861175778
630,-212.805600901
631,-212.799476251
632,-212.85647546
633,-212.902486748
634,-212.799540375
635,-212.839857781
636,-212.877736227
637,-212.782717795
638,-212.805220064
639,-212.861615321
640,-212.807799529
641,-212.810837046
642,-212.82877959
643,-212.811992422
644,-212.840864649
645,-212.873674013
646,-212.827989734
647,-212.815076094
648,-212.810911385
649,-212.865629818
650,-212.848707555
651,-212.889823917
652,-212.833555499
653,-212.889045439
654,-212.865074487
655,-212.840644833
656,-212.79273406
657,-212.798515049
658,-212.856119081
659,-212.903061372
660,-212.835720564
661,-212.819494974
662,-212.804411125
663,-212.861125767
664,-212.806270965
665,-212.828543709
666,-212.91543984
667,-212.844499343
668,-212.82580096
669,-212.844226047
670,-212.772879114
671,-212.823427365
672,-212.793164107
673,-212.793011641
674,-212.906308006
675,-212.84823075
676,-212.874057795
677,-212.857771429
678,-212.856529162
679,-212.820293846
680,-212.810588849
681,-212.806611243
682,-212.859488363
683,-212.786910913
684,-212.797747798
685,-212.81962879
686,-212.781475752
687,-212.797503245
688,-212.828830168
689,-212.862236381
690,-212.892312833
691,-212.84006016
692,-212.783745548
693,-212.817057785
694,-185.813725331
695,-212.88664861
696,-212.839631956
697,-212.88502669
698,-212.809951888
699,-212.87109947
700,-212.831271685
701,-212.807838426
702,-212.797042359
703,-212.850326531
704,-212.864028245
705,-212.820138221
706,-212.833724502
707,-212.909739898
708,-212.93225969
709,-212.794268889
710,-212.832061171
711,-212.77655553
712,-212.833436619
713,-212.884296748
714,-212.794890708
715,-212.845229389
716,-212.858706312
717,-212.906305975
718,-212.810340373
719,-212.885988408
720,-212.893597886
721,-212.775285547
722,-212.837880488
723,-212.797774193
724,-212.826266777
725,-212.782500388
726,-212.829669472
727,-212.807727854
728,-212.804258934
729,-212.928438874
730,-212.812551084
731,-212.843584461
732,-212.777339948
733,-212.811540282
734,-212.845388789
735,-212.794325677
736,-212.817234636
737,-212.811576721
738,-212.834854055
739,-212.946362042
740,-212.810046537
741,-212.783778242
742,-212.818123996
743,-212.819096209
744,-212.778601684
745,-212.788331311
746,-212.832401094
747,-212.841584862
748,-212.849050595
749,-212.823860516
750,-212.808646904
751,-212.823491677
752,-212.894409587
753,-212.867940455
754,-212.789864789
755,-212.91887081
756,-212.831334039
757,-212.844754835
758,-212.809875087
759,-212.782357006
760,-212.844957345
761,-212.851138683
762,-212.832869524
763,-212.833774645
764,-212.778118733
765,-212.866555554
766,-212.833040931
767,-209.89140296
768,-212.878067181
769,-212.831788052
770,-206.854856341
771,-212.863061613
772,-212.831155106
773,-212.785377113
774,-212.795613019
775,-212.808731353
776,-212.791952158
777,-212.964482658
778,-212.835050741
779,-212.7994261
780,-212.864270055
781,-197.854795667
782,-212.857951442
783,-212.818100722
784,-212.829628654
785,-212.832611233
786,-212.836487495
787,-212.809747381
788,-212.789709048
789,-176.836502021
790,-212.861279242
791,-212.808646161
792,-212.904388765
793,-212.820253452
794,-212.830278104
795,-212.892563105
796,-212.885818549
797,-212.885117995
798,-212.859426149
799,-212.847928693
800,-212.844983308
801,-212.800164517
802,-212.847817962
803,-212.84763884
804,-212.846077445
805,-212.780044552
806,-212.785241678
807,-212.790084274
808,-212.780279043
809,-212.859824586
810,-212.861241525
811,-212.805734874
812,-212.91493446
813,-212.864309842
814,-212.88504058
815,-212.803919034
816,-212.808427667
817,-212.80642976
818,-212.82855392
819,-212.827400646
820,-212.8230303
821,-212.871885694
822,-212.829291407
823,-212.870142397
824,-212.84631194
825,-212.856652836
826,-212.809624953
827,-185.823394185
828,-212.776749819
829,-212.901929567
830,-212.840879688
831,-212.774421503
832,-212.827498259
833,-212.834812317
834,-212.785534053
835,-212.917375072
836,-212.902388578
837,-212.800616031
838,-194.838561004
839,-212.820857205
840,-212.844068958
841,-212.861026539
842,-212.867556509
843,-212.825895469
844,-212.844015787
845,-212.830088824
846,-212.895374454
847,-212.799198885
848,-212.930771279
849,-212.808031111
850,-212.834299934
851,-212.814955928
852,-212.803593498
853,-212.846438894
854,-212.823109241
855,-212.844969192
856,-212.789043489
857,-212.804891173
858,-212.821485527
859,-212.826371533
860,-212.876024214
861,-212.824594492
862,-212.860263586
863,-212.808342693
864,-212.791674583
865,-212.789695158
866,-212.821895708
867,-212.824215529
868,-212.817334304
869,-212.853717451
870,-212.832480066
871,-212.791347095
872,-212.81307327
873,-212.860713868
874,-212.784667104
875,-212.807429313
876,-212.902664496
877,-212.808080174
878,-212.850056272
879,-212.866669159
880,-212.824132924
881,-212.823473546
882,-212.927490687
883,-212.805458925
884,-212.833257288
885,-209.81537328
886,-212.794746734
887,-212.829509315
888,-212.782564352
889,-212.79966518
890,-212.826940419
891,-212.837404448
892,-212.888401165
893,-212.815119601
894,-212.846709134
895,-212.853450169
896,-212.882230213
897,-212.801450709
898,-212.84054255
899,-212.771573826
900,-212.882525422
901,-212.79855835
902,-212.782894132
903,-212.842508222
904,-212.784610225
905,-212.803318672
906,-203.797274023
907,-212.860281471
908,-212.899289365
909,-212.871838247
910,-212.844281073
911,-212.856063411
912,-212.859743442
913,-212.871289884
914,-212.846999823
915,-212.810537668
916,-212.826437391
917,-212.917169195
918,-212.787047396
919,-212.839085739
920,-212.860321195
921,-212.896597963
922,-203.791606388
923,-212.830112178
924,-212.860066818
925,-209.851350094
926,-212.812842186
927,-212.816938829
928,-212.813256711
929,-203.882052207
930,-212.806422826
931,-188.837956062
932,-212.876348073
933,-212.854420404
934,-212.858627109
935,-212.909042544
936,-212.866264037
937,-212.858138641
938,-212.8513696
939,-212.837575149
940,-212.829543046
941,-212.824283702
942,-212.843629331
943,-212.812783861
944,-212.789519949
945,-212.818044974
946,-212.818580101
947,-212.877987814
948,-212.802797086
949,-212.880580955
950,-212.780769779
951,-212.825335378
952,-212.843129829
953,-212.882466396
954,-212.833031567
955,-212.812500884
956,-212.80280387
957,-170.79791743
958,-212.888951992
959,-212.846339909
960,-206.815340224
961,-212.806907973
962,-212.921794419
963,-212.792221211
964,-212.860582563
965,-212.834426317
966,-212.866082635
967,-212.821920647
968,-212.819949724
969,-212.803072081
970,-212.88083498
971,-212.856481505
972,-212.849348219
973,-212.924160536
974,-212.954187672
975,-209.937371677
976,-212.879307819
977,-212.776728017
978,-212.815351711
979,-212.856140251
980,-212.844788403
981,-212.830491455
982,-212.830781064
983,-212.802541902
984,-212.792487816
985,-212.932337153
986,-212.909527685
987,-212.829398608
988,-212.802441131
989,-212.817132291
990,-212.815115451
991,-212.851673807
992,-212.886081107
993,-212.851283544
994,-212.789525529
995,-212.888551681
996,-212.840407652
997,-212.856697802
998,-212.802177235
999,-212.836761713
1000,-212.870348604
